Time,Altitude,Velocity
0,200000,-0.333147
0.1,200000,-0.333147
0.2,200000,-0.666294
0.3,200000,-0.99944
0.4,200000,-1.33259
0.5,200000,-1.66573
0.6,199999,-1.99888
0.7,199999,-2.33203
0.8,199999,-2.66517
0.9,199999,-2.99832
1,199998,-3.33147
1.1,199998,-3.66462
1.2,199997,-3.99776
1.3,199997,-4.33091
1.4,199997,-4.66406
1.5,199996,-4.9972
1.6,199995,-5.33035
1.7,199995,-5.6635
1.8,199994,-5.99665
1.9,199994,-6.3298
2,199993,-6.66294
2.1,199992,-6.99609
2.2,199992,-7.32924
2.3,199991,-7.66239
2.4,199990,-7.99554
2.5,199989,-8.32868
2.6,199988,-8.66183
2.7,199987,-8.99498
2.8,199986,-9.32813
2.9,199986,-9.66128
3,199985,-9.99443
3.1,199983,-10.3276
3.2,199982,-10.6607
3.3,199981,-10.9939
3.4,199980,-11.327
3.5,199979,-11.6602
3.6,199978,-11.9933
3.7,199977,-12.3265
3.8,199975,-12.6596
3.9,199974,-12.9928
4,199973,-13.3259
4.1,199971,-13.6591
4.2,199970,-13.9922
4.3,199968,-14.3254
4.4,199967,-14.6585
4.5,199966,-14.9917
4.6,199964,-15.3249
4.7,199962,-15.658
4.8,199961,-15.9912
4.9,199959,-16.3243
5,199958,-16.6575
5.1,199956,-16.9906
5.2,199954,-17.3238
5.3,199952,-17.6569
5.4,199951,-17.9901
5.5,199949,-18.3232
5.6,199947,-18.6564
5.7,199945,-18.9896
5.8,199943,-19.3227
5.9,199941,-19.6559
6,199939,-19.989
6.1,199937,-20.3222
6.2,199935,-20.6553
6.3,199933,-20.9885
6.4,199931,-21.3217
6.5,199929,-21.6548
6.6,199926,-21.988
6.7,199924,-22.3211
6.8,199922,-22.6543
6.9,199920,-22.9875
7,199917,-23.3206
7.1,199915,-23.6538
7.2,199912,-23.987
7.3,199910,-24.3201
7.4,199908,-24.6533
7.5,199905,-24.9864
7.6,199903,-25.3196
7.7,199900,-25.6528
7.8,199897,-25.9859
7.9,199895,-26.3191
8,199892,-26.6523
8.1,199889,-26.9854
8.2,199887,-27.3186
8.3,199884,-27.6518
8.4,199881,-27.9849
8.5,199878,-28.3181
8.6,199875,-28.6513
8.7,199872,-28.9844
8.8,199870,-29.3176
8.9,199867,-29.6508
9,199864,-29.984
9.1,199861,-30.3171
9.2,199857,-30.6503
9.3,199854,-30.9835
9.4,199851,-31.3167
9.5,199848,-31.6498
9.6,199845,-31.983
9.7,199842,-32.3162
9.8,199838,-32.6494
9.9,199835,-32.9825
10,199832,-33.3157
10.1,199828,-33.6489
10.2,199825,-33.9821
10.3,199822,-34.3152
10.4,199818,-34.6484
10.5,199815,-34.9816
10.6,199811,-35.3148
10.7,199808,-35.648
10.8,199804,-35.9811
10.9,199800,-36.3143
11,199797,-36.6475
11.1,199793,-36.9807
11.2,199789,-37.3139
11.3,199785,-37.6471
11.4,199782,-37.9803
11.5,199778,-38.3134
11.6,199774,-38.6466
11.7,199770,-38.9798
