Time,Altitude,Velocity
0,503.2,4689.23
0.1,977.816,4746.16
0.2,1424.88,4470.61
0.3,1848.46,4235.8
0.4,2251.75,4032.93
0.5,2637.31,3855.59
0.6,3007.21,3699.05
0.7,3363.18,3559.69
0.8,3706.65,3434.7
0.9,4038.84,3321.87
1,4360.78,3219.44
1.1,4673.38,3125.97
1.2,4977.41,3040.29
1.3,5273.55,2961.42
1.4,5562.41,2888.55
1.5,5844.51,2820.99
1.6,6120.32,2758.16
1.7,6390.28,2699.56
1.8,6654.75,2644.75
1.9,6914.09,2593.38
2,7168.6,2545.11
2.1,7418.57,2499.67
2.2,7664.25,2456.79
2.3,7905.87,2416.27
2.4,8143.67,2377.91
2.5,8377.82,2341.53
2.6,8608.52,2306.98
2.7,8835.93,2274.11
2.8,9060.21,2242.82
2.9,9281.51,2212.97
3,9499.95,2184.48
3.1,9715.68,2157.24
3.2,9928.8,2131.18
3.3,10139.4,2106.22
3.4,10347.6,2082.29
3.5,10553.6,2059.32
3.6,10757.3,2037.25
3.7,10958.9,2016.04
3.8,11158.5,1995.63
3.9,11356.1,1975.98
4,11551.8,1957.04
4.1,11745.7,1938.78
4.2,11937.8,1921.15
4.3,12128.2,1904.13
4.4,12316.9,1887.69
4.5,12504.1,1871.79
4.6,12689.8,1856.41
4.7,12873.9,1841.52
4.8,13056.6,1827.1
4.9,13237.9,1813.13
5,13417.9,1799.59
5.1,13596.5,1786.45
5.2,13773.9,1773.7
5.3,13950.1,1761.32
5.4,14125,1749.29
5.5,14298.7,1737.61
5.6,14471.4,1726.25
5.7,14642.9,1715.21
5.8,14813.3,1704.46
5.9,14982.7,1694
6,15151.1,1683.82
6.1,15318.5,1673.9
6.2,15484.9,1664.23
6.3,15650.4,1654.81
6.4,15815,1645.63
6.5,15978.6,1636.67
6.6,16141.4,1627.93
6.7,16303.4,1619.41
6.8,16464.5,1611.08
6.9,16624.8,1602.96
7,16784.3,1595.02
7.1,16943,1587.26
7.2,17101,1579.68
7.3,17258.2,1572.27
7.4,17414.7,1565.03
7.5,17570.5,1557.94
7.6,17725.6,1551.01
7.7,17880,1544.23
7.8,18033.8,1537.6
7.9,18186.9,1531.1
8,18339.4,1524.74
8.1,18491.2,1518.51
8.2,18642.5,1512.41
8.3,18793.1,1506.43
8.4,18943.2,1500.57
8.5,19092.6,1494.83
8.6,19241.6,1489.2
8.7,19389.9,1483.68
8.8,19537.8,1478.27
8.9,19685.1,1472.96
9,19831.8,1467.75
9.1,19978.1,1462.64
9.2,20123.9,1457.63
9.3,20269.1,1452.71
9.4,20413.9,1447.87
9.5,20558.2,1443.13
9.6,20702.1,1438.47
9.7,20845.5,1433.89
9.8,20988.4,1429.4
9.9,21130.9,1424.98
10,21273,1420.64
10.1,21414.6,1416.38
10.2,21555.8,1412.18
10.3,21696.6,1408.06
10.4,21837,1404.01
10.5,21977,1400.03
10.6,22116.6,1396.11
10.7,22255.9,1392.26
10.8,22394.7,1388.46
10.9,22533.2,1384.74
11,22671.3,1381.07
11.1,22809,1377.45
11.2,22946.4,1373.9
11.3,23083.5,1370.4
11.4,23220.2,1366.96
11.5,23356.5,1363.57
11.6,23492.5,1360.23
11.7,23628.2,1356.94
11.8,23763.6,1353.7
11.9,23898.7,1350.51
12,24033.4,1347.37
12.1,24167.8,1344.28
12.2,24301.9,1341.23
12.3,24435.8,1338.22
12.4,24569.3,1335.26
12.5,24702.5,1332.34
12.6,24835.5,1329.47
12.7,24968.1,1326.63
12.8,25100.5,1323.83
12.9,25232.6,1321.08
13,25364.5,1318.36
13.1,25496,1315.68
13.2,25627.3,1313.03
13.3,25758.4,1310.42
13.4,25889.2,1307.85
13.5,26019.7,1305.31
13.6,26150,1302.81
13.7,26280,1300.34
13.8,26409.8,1297.9
